Angry,Fear,Joy,Sadness
0,0.5,0.5,0
0,0,0,0.5
0,0.33,0.33,0
0,0.5,0,0.5
1,0,0,0
0,0.2,0,0.2
0.5,0,0,0
0,0,0,0.25
0,1,0,0
0.2,0.4,0,0.4
0,0.4,0,0.2
0,0.33,0,0.33
0,0.6,0,0.1
0,0,0,0.67
0.33,0,0.33,0.33
0,0.2,0.3,0.1
0,0.33,0.33,0
0,0.33,0.67,0
0,0.33,0.22,0.11
0.33,0.17,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0.5,0.5,0
0,0,0,0
0.33,0,0,0.67
0,0.5,0.5,0
0,0,0.5,0.5
0,0.5,0,0.5
0.5,0,0,0.5
0,0,0,1
0.5,0.25,0.25,0
0,0,0,0
0,0,0.2,0.4
0,0.33,0.17,0.5
0,0.67,0,0.33
0,0,0,1
0,0,0,0
0,0.5,0.5,0
0,0,0,1
0,0.25,0.5,0
0,0,0,0.5
0.11,0.56,0,0.22
0,1,0,0
0,0.25,0.12,0.5
0,0.5,0,0
0,0,0,0
0,0.5,0,0
0.5,0,0.5,0
0,0.17,0.17,0.33
0.14,0.29,0.14,0.43
0,0.5,0,0.25
0,0,0,0.5
0.25,0.25,0,0.5
0,0.25,0,0.5
0,0,0,1
0,1,0,0
0,0,0,0
0,0.25,0.25,0.25
0,0,0,0
0.25,0.5,0.25,0
0,0.25,0.25,0.25
0,0.67,0,0.33
0,0.33,0,0.33
0,0,0.33,0.33
0,0.67,0.33,0
0,0.5,0.25,0.25
0,0.67,0,0.22
0,0.33,0.33,0.33
0,0,0,1
0,0,0,0
0,0,0,1
0,0.33,0.33,0.33
1,0,0,0
0,0.67,0,0.33
0,0.2,0,0.2
0,0.5,0.5,0
0.2,0.2,0,0.2
0.5,0,0,0.5
0,0,0,0
0,0.67,0,0.17
0,0.5,0,0.5
0,1,0,0
0,0,0.5,0.25
0,0,1,0
0,0.29,0,0.57
0,0.5,0.17,0.33
0,0,0.5,0
0,0.5,0.5,0
0,0,0.5,0.5
0,0,0,0.33
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0.5,0,0.5
0,0,0,1
0,0,0,0
0.5,0.5,0,0
0,0,0.14,0.29
0,0,1,0
0,0.5,0.5,0
0,0,0,0
0.33,0.67,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0.67,0.33,0
0.25,0.5,0,0.25
0,0,0,0
0,0,0,1
0,0.25,0.25,0.25
0,0.67,0,0.33
0,0,0,0
0,0.67,0.33,0
0,0,0.5,0
0,0.38,0.25,0.12
0.2,0.4,0.2,0
0.12,0.25,0.12,0.25
0,0.5,0.5,0
0,0.25,0,0.75
0,0.5,0,0
0,0,1,0
0,0,0,0
0,0,1,0
0,0.6,0.2,0.2
0,0.5,0,0
0,0.25,0.25,0.5
0,1,0,0
0,0,0,0
0,0.33,0,0.33
0,0,0.67,0.33
0,0,1,0
0,0,0,0.67
0,0,0,1
0,1,0,0
0,0,0,1
0.17,0.5,0.33,0
0,0.33,0.17,0.5
0,0.25,0.25,0.25
0,0,0,0.5
0.33,0.67,0,0
0,0,1,0
0.1,0.6,0,0.2
0,1,0,0
0,0.5,0,0.25
0,0.5,0,0.5
0,0.25,0,0
0,0,0.5,0.33
0.11,0.22,0.11,0.11
0,0.4,0.2,0.2
0,0.67,0,0.33
0,0.33,0,0.33
0,0,0,0
0,0.5,0,0.5
0,1,0,0
0,0.5,0,0
0,0,0,0
0,1,0,0
0,0,0,1
0,0,0,0
0,0,0,1
0.5,0,0,0
0,0,1,0
0,0,0,0.5
0,0.5,0,0
0,1,0,0
0,0,0,0
0,0.33,0.33,0.33
0,0,0,0.5
0,0,0,0
0,0.33,0.17,0.5
0,0.33,0.33,0
0,0,0,0.33
0,1,0,0
0,0.33,0.33,0.17
0,0,0,0.67
0,1,0,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0.5,0.25,0
0,0,0,0.5
0,0,0,1
1,0,0,0
0,0.5,0.5,0
0.33,0,0.67,0
0.67,0,0.33,0
0.5,0.5,0,0
0,0,0.33,0.33
0.17,0.33,0,0.33
0,0.5,0.5,0
0,0.67,0,0
0,0.33,0,0.33
0,0,0.17,0.33
0,0.33,0,0.33
0.33,0.33,0.33,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.5,0.5,0
0.2,0.4,0.2,0.2
0,0.25,0,0.75
0,0,0,0
0,0.67,0,0
0,0,0.5,0.5
0,1,0,0
0,0,0,1
0.33,0,0.33,0.33
0,1,0,0
0,1,0,0
0,0.25,0,0.75
0.12,0.12,0.25,0.38
0,1,0,0
0,0,0,1
0.5,0.5,0,0
0,0.33,0.67,0
1,0,0,0
0,0.33,0,0.11
0,0.4,0.2,0.4
0,1,0,0
0,0.67,0.33,0
0,0.6,0.2,0
0,0,0,0
0,0.25,0.25,0
0,0,0,0
0,0,0,1
0,0,1,0
0.5,0.25,0,0.25
0,0.5,0,0.5
0,0,1,0
0,0,0,0.33
0,0,0,0
0,0.5,0,0.5
0,0.67,0.33,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0.33,0.67,0
0,0.33,0.5,0
0,0,0.33,0.33
0.33,0.33,0,0.33
0,0.4,0,0.2
0,0.5,0,0.5
0,0,0.67,0
0,0,0.38,0.62
0,0,0.75,0.25
0,0.5,0,0.5
0,0.33,0,0.67
0,0.5,0,0
0,1,0,0
0,0,1,0
0,0.5,0,0
0,0.67,0,0.33
0,0.5,0.25,0
0,0.5,0.5,0
0,0.5,0,0
0,0.43,0,0.43
0,0.8,0,0
0,0.67,0.33,0
0,0,0.5,0.5
0.4,0.4,0.2,0
0,0,0.33,0.33
0,0,0,1
0,0.5,0,0
0,0.33,0,0.67
0,0.5,0,0
0.11,0.56,0,0.22
0,0.33,0.17,0.33
0,0.33,0,0
0,0.33,0,0.33
0,0.4,0.4,0.2
0,0,0,0.5
0,0.17,0.17,0.33
0,1,0,0
0,0,0.5,0
0,0,0,1
0,0.5,0.25,0.25
0,0,0.25,0.5
0,1,0,0
0,0,0.4,0.6
0,0.33,0,0.33
0,0.29,0.14,0.57
0,0.5,0,0
0,0,1,0
0,0,0,0.33
0,0.25,0.25,0.25
0,0.33,0,0.67
0,1,0,0
0,0,0,0
0,0.5,0.5,0
0,0.67,0,0.22
0,0,0,0
0,0.5,0.17,0.17
0.2,0.2,0.2,0
0,0.2,0,0.2
0,0.67,0,0
0,0,0,0.5
0.4,0,0,0.4
0,0,0.2,0.4
0,0,0,0.25
0,0.5,0,0.33
0,0.5,0.5,0
0,0,0.2,0.2
0,0,0,0
0.17,0,0.33,0.17
0,0.25,0.5,0
0,0,0.5,0.25
0,0,0,0
0,0,0.17,0.33
0,0,0,1
0,0.33,0,0.5
0,0,0,0
0,0.5,0.5,0
0,0.2,0,0.6
0.5,0.5,0,0
0,0.5,0,0
0,0,1,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0.29,0.43,0.29
0,0.67,0,0.33
0.25,0.12,0.12,0.25
0.25,0.75,0,0
0,0.5,0.17,0.33
0,1,0,0
0.33,0.33,0.33,0
0,0.4,0.4,0.2
0,0.25,0.25,0.5
0,0.5,0,0.5
0,0,0.33,0.33
0,0,0,0.5
0,0,0.5,0.5
0,0,0,1
0,0,1,0
0,0,1,0
0,0,1,0
0,0.8,0,0
0,0,0.33,0.33
0,0.5,0.5,0
0,1,0,0
0,0,0,0
0,0,0,1
0,0.33,0.33,0
0.25,0,0.5,0
0,0.5,0,0.5
0,0,0,0.67
0,1,0,0
0,0.33,0.33,0
0,0.67,0,0.33
0.17,0.17,0.17,0.17
0,0.25,0,0.5
0,1,0,0
0,0.14,0.29,0.14
0,0,0.5,0
0,0,0.67,0
0,0.33,0,0.33
0.5,0.5,0,0
0.5,0,0.5,0
0,0.75,0.25,0
0,0.5,0.25,0.25
0,0,0,0.5
0,0,1,0
0,0,0.67,0.33
0,0,0,0
1,0,0,0
0,0.33,0.17,0.17
0,0.5,0,0.17
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.5,0
0,0,0.5,0.5
0,0,0,1
0,1,0,0
0,0.25,0,0.62
0.09,0.36,0.09,0.18
0,0.2,0.2,0.4
0,0,0.5,0.5
0.5,0,0,0.5
0.2,0.2,0.2,0.4
0,0.6,0,0.2
0,0.5,0.25,0.25
0,0,0,1
0,0,0,0.5
0,0,0,0
0,0.33,0.33,0
0,0.5,0.5,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0.5,0,0.5
0.33,0,0.11,0.22
0.25,0.5,0,0.25
0,0,1,0
0,0,0.33,0
0,0,0.2,0.2
0,0.44,0,0.44
0,0,0,1
0,1,0,0
0,0,0,1
0,0,1,0
0.17,0.17,0.17,0.17
0.2,0.2,0,0.4
0,1,0,0
0,0,0.5,0.5
0,0,0.5,0.5
0,0.4,0.2,0.2
0,0.33,0.33,0.33
0,0.67,0,0.33
0,0,0.25,0
0,0,0.5,0
0.2,0.2,0.2,0.2
0,0.75,0,0.25
0,0.5,0,0.5
0,0.33,0,0.17
0,0,0.17,0.5
0.14,0.43,0.14,0.29
0,0,0.5,0.5
0,0.67,0,0.17
0,0.25,0.25,0.25
0,0,0,0.5
0,0,0.33,0.33
0,0.5,0,0.5
0,0.5,0,0.33
0,0.33,0.33,0
0,0,0,0
0,0,0,0
0.5,0,0,0.5
0,0,0.5,0
0,0,0,0
0,0.17,0.33,0.17
0,0.2,0.2,0.2
0.11,0.33,0.11,0.11
0,0,0,0
0,1,0,0
0,0.17,0,0.33
0,0.5,0,0
0.5,0,0,0.5
0,1,0,0
0,0,0,1
0.5,0,0,0.5
0,0,0,0
0,0.5,0,0
0,0,0,1
0,0.75,0,0.25
0.17,0.17,0.33,0.17
0,0.75,0,0
0,1,0,0
0,0,0,1
0,1,0,0
0,0.5,0,0.5
0.25,0.25,0,0
0,0.5,0.5,0
0,0.5,0,0.5
0,0.25,0.25,0.5
0,0,0,1
0,0.43,0,0.57
0,0.67,0,0.33
0,0,0,0.5
0,0,0,1
0,0.17,0.17,0.17
0,0.5,0,0
0,0.5,0,0.5
0,0.25,0.25,0.25
0,0,0,1
0,0,0,0
0,0,0,0
0,0.33,0.17,0.33
0,0.29,0.14,0.29
0,0,1,0
0,0.5,0,0
0,0.25,0.25,0.25
0,0.5,0.17,0.33
0,0.33,0.33,0.33
0,0.2,0.2,0.4
0,0.5,0.25,0.25
0,0,1,0
0,0,0,0
0,0.33,0.33,0.33
0,0,0,0.33
0,0.33,0.67,0
0,0.38,0,0.38
0.5,0,0,0.5
0,0,0,0
0.17,0.5,0,0.17
0,0,0,0
0,1,0,0
0,0,0,1
0.25,0,0,0
0,0.5,0,0.5
0,0,1,0
0,0.33,0,0.67
0,0,0,0.5
0,0,0,0
0,0,1,0
0,0.33,0,0.67
0,0.5,0,0.5
0,1,0,0
0.18,0.27,0.18,0.27
0,0.17,0,0.5
0.5,0.5,0,0
0,0.5,0.5,0
0,0.25,0.5,0.25
0,0,0,0
0,0,0,0.5
0,1,0,0
0,0,0.5,0.25
0,0.2,0.6,0
0,0,0.25,0.25
0,1,0,0
0,0.5,0.5,0
0,0,0,1
0,0.33,0,0.33
0,0,0,0
0,1,0,0
0,0,0,0.67
0,0.5,0,0
0.5,0,0.5,0
0,1,0,0
0,0.25,0.5,0
0,0.5,0,0
0.2,0.4,0.2,0.2
0,0.5,0.25,0
0,0.22,0.11,0.33
0,0,0,1
0,0.33,0,0
0,0,0.4,0.6
0.25,0,0.25,0.5
0,0.33,0,0.67
0,0.43,0.14,0.14
0,0.33,0,0.33
0,0,0.5,0.5
0,0,1,0
0,1,0,0
0,0,1,0
0,0,0,1
0.25,0,0.25,0
0,0,0,1
0,0.4,0.2,0.2
0.2,0.2,0.2,0.4
0,0.5,0.33,0
0,0,0,1
0,0,1,0
0,0,0.5,0
0.17,0.17,0,0.33
0,1,0,0
0,0.5,0.5,0
0,0,0,1
0,0.17,0.33,0.17
0,0.6,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0.4,0,0.2
0,0.17,0.67,0
0,0,0,0
0.14,0.14,0.29,0.43
0,0.5,0.25,0
0.33,0.33,0,0
0,0,0,0.5
0,0,0,0
0,0,0,1
0,0,0,1
0,1,0,0
0,0.5,0,0
0,0,0,1
0,0.5,0.17,0
0,0.33,0.33,0.33
0,0.5,0.25,0
0,0.33,0.67,0
0,0,0.5,0.5
0,1,0,0
0.25,0.25,0,0.5
0,0,0,0
0,0.43,0,0.57
0,0.5,0.5,0
0,0.33,0.33,0
0,0,1,0
0.29,0.14,0.14,0.29
0,0.5,0.5,0
0,0.29,0.14,0.29
0,0.33,0,0.33
0.67,0,0,0
1,0,0,0
0,0.4,0,0.6
0,0,1,0
0,0,0,0.5
0,0,0,1
0.33,0.33,0,0.33
0,0.5,0,0.5
0,1,0,0
0,0,1,0
0,0,0,0
0,0.57,0,0.14
0,0.5,0,0
0,0,1,0
0,0,1,0
0.2,0.4,0.2,0.2
0,0,0.5,0
0,0.5,0.5,0
0,0.5,0,0
0,0.8,0,0.2
0,0.5,0,0.5
0,0.4,0.2,0.2
0.4,0,0.2,0.2
0,0.67,0,0
0,0.5,0,0.5
0,0,0,1
0.22,0.11,0.11,0.44
0,0,0,0
0,0,0,1
0,0.75,0.25,0
0,1,0,0
0.5,0,0.5,0
0.33,0,0,0
0,0,0,0
0,0,0,1
0,0.2,0.4,0
0,0.5,0,0
0,0,0,0
0,0.33,0,0
0,0.5,0.25,0.25
0.12,0.12,0.62,0.12
0,0.5,0.33,0.17
0,0.25,0.12,0.12
0,0,0.33,0.33
0,0,0.6,0.2
0,0.5,0,0.5
0,1,0,0
0,0,1,0
0,0.25,0,0.5
1,0,0,0
0,0.67,0.33,0
0,1,0,0
0,0.2,0.4,0.2
0,0,0,0
0,0,0,1
0,0.5,0.25,0
0.17,0.33,0,0.33
0,1,0,0
0.25,0.25,0.25,0
0,0.5,0.33,0
0.5,0,0,0.5
0,0.75,0,0.25
0,0,0.33,0.33
0,0,0.5,0
0.17,0,0.17,0.17
0.5,0,0,0.5
0,0.5,0,0.5
0.33,0,0.33,0.33
0,0.5,0.5,0
0,0,0,0
0,0,0,0
0,0.33,0.33,0
0,0,0,0
0,0.4,0,0.4
0,0.67,0,0.33
0,1,0,0
0,0.67,0,0
0,0.33,0.33,0.17
0,0,0,1
0,0.33,0,0
0,1,0,0
0,0.5,0.5,0
0,0.5,0.25,0.25
0,0.67,0,0
0,0.33,0.33,0.33
0,0,1,0
0,0,1,0
0,0.33,0,0.33
0.25,0.25,0,0.25
0,0.5,0.5,0
0,0,0.2,0.4
0,0,0,0
0,0.67,0,0
0,0,0,0
0,0.5,0,0.25
0,0.33,0.33,0
0,0.67,0.33,0
0,0,0,1
0,0.5,0,0.5
0.25,0.25,0,0.5
0,0.25,0,0.5
0,0.5,0.17,0.33
0.2,0.2,0,0.4
0,1,0,0
0,0,0.5,0
0.33,0.33,0,0.33
0,0,0,0
0,0,0.2,0.2
0,0,0,1
0,0,0,0
0,0.33,0.33,0.33
0,0.67,0,0.33
0,0,0.33,0.33
0,0,0.33,0.67
0.2,0.6,0.2,0
0,0.4,0,0.4
0,0.5,0,0.25
0,0,0,0
0,0,0,0
0,0.33,0,0.33
0,0,0,1
0,0,0,0
0,0.25,0.25,0.25
0,0,0,0.25
0,0.25,0.25,0.5
0,0.67,0.33,0
0,0,0.5,0.5
0,0.33,0.33,0
0,0.5,0,0.5
0,0,0,1
0,0,0,1
0,0.2,0,0.6
0,0,0,0
0,0.33,0,0.33
0,0.33,0,0.33
0,0,0,1
0,0,0,0
0,0,0.5,0.5
0.29,0.29,0,0
0,0.5,0,0.5
0.25,0.5,0,0
0,0.5,0,0.5
0,0,1,0
0,0,0,0
0,0,1,0
0,1,0,0
0,0.67,0,0.33
0,0.5,0,0.5
0,0.33,0.11,0.33
0.33,0.33,0,0
0,0,1,0
0.25,0.25,0,0.25
0,1,0,0
0,0,0.5,0.5
0.38,0.25,0.12,0.25
0,0,0,1
0,0.33,0,0
0,1,0,0
0,0.14,0.43,0.29
0,1,0,0
0,0,0,0
0,0,0,0
0,0.6,0,0.4
0,0.67,0,0.33
0,0,0,0.67
0,0,0,0.33
0,0.67,0,0.33
0,0.2,0.2,0.2
0,0.4,0.2,0.2
0,0.3,0.3,0.2
0,0.5,0,0
0,0.2,0.2,0.2
0,0.5,0,0.5
0,0.6,0,0.2
0.25,0.25,0.25,0
0,1,0,0
0,0,0.5,0
0,0,0.33,0
0,0.17,0,0.33
0,0.2,0,0.2
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,1,0
0,0,1,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0.2,0.2,0.4
0,0.33,0.33,0.33
0.2,0.4,0.2,0.2
0,0,0,1
0,0,0,0.5
0,0.5,0,0
0,0.5,0.5,0
0,0,0.33,0.67
0,0,0,0
0,0,0,1
0,0,0.5,0.5
0,0.5,0.5,0
0,0,0,0
0,0,0,0
0,0.14,0.43,0
0,0,0,1
0.5,0,0,0.5
0,0.5,0.25,0.25
0,0,0,0
0,0,0,0
0,0,0,1
0,0.5,0,0.25
0.5,0,0,0.25
0,0,0.5,0.5
0,0,0,0
0,1,0,0
0.25,0.25,0.12,0.12
0,0,0,0.5
0,0,0.33,0.33
0,0.17,0.33,0
0,0.33,0.33,0.33
0,0,0,0.67
0,0,0.33,0.33
0,0.2,0.2,0.4
0,0,0,0
0,0,0,0
0.17,0.67,0,0.17
0,1,0,0
0,0.2,0.6,0.2
0,0,0,1
0,0.43,0.14,0
0,0,0,0
0,0.29,0.14,0.57
0,0.14,0,0.57
0,0,0,0
0,0.5,0,0.5
0,0,1,0
0,0,0,0
0,0.33,0.67,0
0,0,0,0.33
0,0,0,0
0,0.5,0.25,0.12
0,0,0,0
0,0,0,1
0,0.5,0,0.25
0,0.33,0.33,0.33
0,0,1,0
0,0.25,0,0.75
0.2,0.2,0.4,0.2
0,0,0.33,0.67
0,0,0,0
0.5,0,0.5,0
0,0.33,0,0.17
0,0,0,1
0,0,0,1
0,0.5,0,0.25
0,0,0,0
0,0,0,0
0,0.5,0.25,0.25
0,0.67,0,0
0,1,0,0
0,0.33,0,0.33
0,0.5,0,0.25
0,0.33,0.33,0.33
0,0.4,0.3,0
0,0,0,0
0,0.5,0,0
0,0.25,0.5,0.25
0,0,0.33,0.33
0.2,0.2,0.2,0
0,0,0,1
0,0,0.5,0.5
0,0.33,0,0.33
0,0.5,0,0
0,1,0,0
0,0,1,0
0,0,0,1
0,1,0,0
0,0,0.25,0.25
0,0,0,0.6
0,0.5,0,0
0,0,0.5,0.5
0,0.2,0.6,0.2
0,0,0,0
0,0,0.33,0.33
0,0.5,0.5,0
0,0,0,0
0.5,0,0,0
0,0.33,0,0.33
0.2,0,0.2,0
0,0,0,0
0,0,0,0.5
0,0.33,0,0.33
0,0,0,0
0,0.5,0.25,0.25
1,0,0,0
0.2,0.6,0,0
0.2,0.4,0,0.2
0,0.33,0,0.33
0,0,0,0
0,0,1,0
0,0.29,0,0.29
0,1,0,0
0.12,0.12,0.06,0.56
0,0.5,0,0.5
0.5,0,0.5,0
0.5,0.5,0,0
0,0.5,0.25,0.25
0,1,0,0
0,0.17,0.33,0.33
0,0.5,0.5,0
0,0,0,0
0,0,0.5,0
0,0.57,0,0.43
0,0.25,0,0.5
0,0.6,0.2,0.2
0.25,0,0.25,0.25
0,0,0,0
0,0,1,0
0,0.5,0,0.25
0,0,0.33,0.67
0,0,0,0.5
0,0,0,1
0,0.25,0,0.25
0,0.33,0,0.33
0,0.67,0.17,0
0,0.67,0,0
0,0.33,0.67,0
0,0.4,0.4,0
0,0,0,0.67
0.17,0.33,0.17,0.33
0,0.14,0.29,0.43
0,0,0,0.67
0,0,0,1
0,0.2,0.2,0.6
0,0.33,0.33,0
0,0.67,0,0
0,1,0,0
0,0,0.33,0.33
0,0,0,0
0,0,0.33,0.67
0,0.67,0,0.33
0.2,0.4,0,0.4
0,0.25,0.25,0.5
0,0,0,1
0,0.4,0,0.4
0,0.4,0,0.2
0.33,0.33,0,0
0,0.5,0,0
0,0.38,0.38,0
0,0.71,0,0.14
0.5,0,0,0
0,0.25,0.25,0.25
0,0,1,0
0,0.29,0.57,0
0,0.67,0.33,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0.5,0
0,0.5,0,0
0,0.33,0,0.33
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0.5
0,0.43,0.14,0.14
0,0,0,1
0,0,0,0
0,0.33,0.67,0
0,1,0,0
0,0,0.33,0
0,0.33,0,0
0,0,1,0
0,0,0,1
0,0.33,0,0.67
0,0.5,0.5,0
0,0.25,0.25,0.25
0,0.5,0.5,0
0.33,0.33,0,0.33
0,0.5,0.5,0
0,0.6,0,0.2
0,0.5,0.5,0
0,0.75,0,0.25
0,0.5,0.5,0
0,0.38,0,0.25
0,0,0.5,0.5
0,0,0,0.67
0,0,0,0.33
0,0.4,0.4,0
0,0,0,0
0,0,0,1
0,1,0,0
0,0.5,0.25,0
0,0.14,0.29,0.14
0,0,0,1
0.25,0,0.5,0
0,0,0,1
0,0,0.5,0.5
0,0,0.33,0.33
0,0.17,0.17,0.33
0.12,0.62,0.12,0.12
0.12,0.38,0.12,0.38
0,0,0.33,0.33
0,0.5,0.5,0
0,0,0.5,0
0,0.4,0,0.2
0,0,0,0
0,0,0,0.83
0.4,0,0.2,0.4
0,0,0.67,0
0,0.67,0,0
0.17,0.33,0.17,0.17
0,1,0,0
0,0.5,0.25,0
0,0.5,0.25,0.25
0,1,0,0
0,0,0,0.5
0.5,0.5,0,0
0,0,0.5,0.5
0,0,1,0
0.33,0,0,0.33
0,0,0,0
0,0,0,1
0,0,0.5,0
0,0,0,0
0,0,0,0
0,0,0,0
0.25,0,0.25,0.5
0,0.12,0,0.25
0,0,0.5,0
0,0.4,0.2,0.2
0.5,0,0,0
0,0.5,0.33,0.17
0,0.33,0,0.67
0.14,0.43,0.14,0
0,0.5,0,0.5
0,1,0,0
0,0.25,0.25,0.25
0,0.5,0,0.25
0,0.4,0,0.4
0,0.44,0,0.22
0,0,0.33,0.67
0,0,0,0.5
0,1,0,0
0,0.5,0,0
0,0.2,0,0.4
0,0,0.5,0
0,1,0,0
0,0.29,0.29,0.14
0,0,0.5,0.5
0,0,0.5,0
0,0.67,0,0
0,0,0,0
0,0,0,0
0,0.29,0,0.43
0,0.67,0,0.33
0,0,0,0.67
0,0,0,1
0,0,0,1
0,0,0.33,0
0,0.5,0,0
0,0,0,0
0,0,0,0.25
0,1,0,0
1,0,0,0
0,0,0,1
0,0.5,0,0.5
0,1,0,0
0,0.5,0.5,0
0,0,0,0
0.33,0,0.33,0.33
0,0.33,0,0.67
1,0,0,0
0,0.33,0,0.33
0,0.5,0.5,0
0,0,0.17,0.83
0,0,0,0
0,0.29,0.14,0.43
0,0.67,0,0.33
0,0.5,0,0.33
0,0,0,0
0,0,1,0
0,0,0,0
0,0,0,1
0.17,0.17,0,0.17
0,0,0.33,0.33
0,0,0,0
0,0.2,0,0.6
0,0.33,0.33,0
0,0,0,0.5
0.33,0.33,0,0.33
0,0.33,0,0.33
0,0.4,0.2,0
0,0.6,0,0.2
0,0,0,0
0,0,0,0.5
0,1,0,0
0,0.25,0,0.25
0,0.67,0,0.33
0,1,0,0
0,0,0.25,0.5
0,0,0.5,0
0,0.5,0.5,0
0,0.5,0.5,0
0,0.5,0,0.5
0,1,0,0
0,0,0,0
1,0,0,0
0,0.2,0,0.6
0,0.5,0,0
0.33,0,0,0
0,0.5,0.25,0
0,0.25,0.25,0.38
0,0,0,0
0,0,0,1
0,0.5,0,0.5
0,0.36,0.18,0.45
0.25,0.25,0.25,0.25
0,0,0.33,0
0,0,0,0
0,0,0.33,0.33
0,0,1,0
0.5,0,0.5,0
0,0,1,0
0,0,0.25,0
0,0,0,0
0,0,0,0
0,0,1,0
0,0.33,0.33,0.33
0,0.33,0,0.33
0.14,0.29,0.29,0.14
0,0.4,0,0.4
0,0,0,0
0,0,1,0
0,0.75,0,0.25
0,0.5,0.25,0
0,0.8,0,0.2
0,0,0.17,0.83
0,0,0,0
0,0.33,0.33,0.33
0,0,1,0
0,0,0.5,0
0,0,0,0
0,0,0.33,0.33
0,0,1,0
0,0.67,0,0.33
0,0,0.33,0.67
0.14,0,0,0.86
0,0.33,0.33,0
0.5,0.5,0,0
0,0.25,0.25,0.25
0,0.25,0,0.5
0,0.5,0.25,0.25
0.11,0.56,0,0.11
0,0,0.5,0
0,0,0,0
0,0,1,0
0.17,0.33,0,0.33
0,0,0,1
0,0,0,1
0,0,0.5,0.25
0,0.5,0.5,0
0,1,0,0
0,0,0.67,0
