Anger,Fear,Joy,Sadness
0.1758,0.0021,0.0043,0.813
0.04,0.04,0.06,0.02
0.04,0.03,0.0035,0.03
0.03,0.01,0.03,0.01
0.3669,0.6301,0.05,0.07
0.6993,0.04,0.02,0.01
0.02,0.02,0.02,0.01
0.02,0.02,0.05,0.03
0.69916,0.04,0.03,0.02
0.02,0.03,0.02,0.02
0.04,0.02,0.02,0.01
0.02,0.02,0.02,0.01
0.6993,0.03,0.01,0.02
0.69762,0.06,0.05,0.03
0.6993,0.04,0.01,0.03
0.02,0.03,0.11,0.02
0.02,0.02,0.02,0.01
0.03,0.06,0.09,0.05
0.03,0.02,0.1,0.02
0.03,0.02,0.11,0.02
0.69937,0.03,0.01,0.02
0.6979,0.18,0.05,0.03
0.69909,0.03,0.02,0.03
0.69916,0.03,0.02,0.02
0.02,0.02,0.02,0.02
0.03,0.02,0.69832,0.09
0.0034,0.69601,0.05,0.07
0.02,0.04,0.06,0.02
0.12,0.03,0.06,0.02
0.03,0.03,0.07,0.02
0.17,0.69692,0.06,0.07
0.02,0.02,0.01,0.02
0.69629,0.07,0.03,0.0034
0.69916,0.04,0.02,0.02
0.02,0.02,0.05,0.02
0.06,0.08,0.09,0.04
0.15,0.69664,0.06,0.12
0.69937,0.03,0.01,0.02
0.69916,0.03,0.03,0.03
0.69916,0.06,0.01,0.02
0.02,0.02,0.02,0.02
0.69888,0.04,0.03,0.04
0.69846,0.03,0.03,0.03
0.6993,0.03,0.01,0.02
0.87,0.16,0.021,0.0028
0.07,0.02,0.03,0.02
0.6993,0.03,0.01,0.02
0.69916,0.03,0.02,0.03
0.0896,0.63567,0.04,0.07
0.02,0.02,0.02,0.01
0.02,0.02,0.03,0.01
0.6993,0.03,0.01,0.02
0.69916,0.03,0.02,0.04
0.06,0.02,0.02,0.01
0.69902,0.03,0.02,0.05
0.69923,0.04,0.01,0.02
0.02,0.01,0.69832,0.11
0.03,0.02,0.69832,0.07
0.02,0.01,0.69818,0.1
0.02,0.01,0.03,0.02
0.13,0.69643,0.06,0.1
0.6993,0.03,0.02,0.01
0.6993,0.03,0.02,0.02
0.13,0.69622,0.1,0.12
0.03,0.02,0.69783,0.14
0.13,0.17,0.6701,0.3235
0.6993,0.03,0.01,0.03
0.69923,0.03,0.02,0.02
0.69923,0.04,0.02,0.01
0.69874,0.04,0.02,0.04
0.03,0.08,0.04,0.02
0.04,0.02,0.69783,0.15
0.69916,0.04,0.03,0.02
0.04,0.05,0.04,0.02
0.1953,0.8013,0.07,0.1
0.02,0.02,0.12,0.01
0.02,0.02,0.01,0.01
0.8449,0.153,0.04,0.07
0.02,0.01,0.03,0.01
0.03,0.02,0.12,0.02
0.6993,0.03,0.01,0.02
0.0023,0.1,0.0049,0.69293
0.02,0.02,0.05,0.01
0.02,0.03,0.12,0.03
0.03,0.05,0.04,0.02
0.11,0.0055,0.04,0.04
0.6993,0.03,0.01,0.02
0.02,0.02,0.69783,0.17
0.69902,0.05,0.02,0.01
0.69909,0.03,0.02,0.04
0.03,0.02,0.69825,0.12
0.02,0.02,0.04,0.01
0.17,0.0022,0.0045,0.693
0.0033,0.14,0.0028,0.69335
0.69867,0.03,0.03,0.09
0.03,0.12,0.1,0.04
0.13,0.16,0.6489,0.3449
0.03,0.02,0.0041,0.02
0.02,0.02,0.02,0.01
0.03,0.02,0.15,0.02
0.02,0.02,0.02,0.01
0.02,0.02,0.69783,0.18
0.02,0.02,0.03,0.02
0.69923,0.03,0.02,0.02
0.002,0.12,0.0034,0.69419
0.12,0.02,0.69258,0.04
0.69909,0.08,0.01,0.01
0.02,0.02,0.09,0.02
0.6993,0.03,0.01,0.02
0.03,0.02,0.1,0.02
0.69909,0.03,0.02,0.03
0.03,0.03,0.69797,0.07
0.14,0.14,0.5886,0.4051
0.02,0.06,0.07,0.02
0.69888,0.03,0.05,0.03
0.69902,0.02,0.03,0.04
0.02,0.02,0.02,0.01
0.0035,0.14,0.0031,0.69342
0.6993,0.03,0.02,0.02
0.04,0.03,0.69818,0.06
0.69923,0.04,0.02,0.03
0.02,0.02,0.02,0.01
0.69916,0.03,0.02,0.02
0.69923,0.04,0.01,0.02
0.69923,0.03,0.02,0.02
0.03,0.01,0.69853,0.07
0.69916,0.05,0.01,0.03
0.0681,0.18,0.0039,0.64582
0.6993,0.05,0.01,0.01
0.02,0.02,0.09,0.02
0.03,0.02,0.01,0.01
0.03,0.03,0.01,0.01
0.69734,0.0032,0.01,0.01
0.02,0.04,0.11,0.02
0.02,0.02,0.01,0.02
0.69937,0.03,0.01,0.02
0.69916,0.03,0.01,0.04
0.002,0.17,0.0047,0.69321
0.69853,0.05,0.02,0.02
0.02,0.02,0.69776,0.14
0.69923,0.03,0.02,0.02
0.03,0.02,0.69839,0.07
0.02,0.02,0.01,0.02
0.03,0.02,0.69692,0.003
0.3808,0.6153,0.06,0.12
0.01,0.02,0.04,0.01
0.03,0.02,0.69832,0.09
0.0024,0.6965,0.08,0.07
0.07,0.03,0.04,0.02
0.03,0.02,0.02,0.02
0.03,0.02,0.11,0.02
0.69937,0.04,0.01,0.02
0.0071,0.6937,0.03,0.05
0.02,0.02,0.07,0.02
0.02,0.03,0.08,0.01
0.0021,0.1,0.0039,0.6937
0.02,0.02,0.08,0.02
0.69923,0.03,0.02,0.02
0.02,0.02,0.02,0.01
0.03,0.04,0.05,0.02
0.69909,0.04,0.03,0.02
0.6993,0.05,0.01,0.02
0.69881,0.07,0.04,0.02
0.69895,0.04,0.02,0.06
0.69909,0.06,0.01,0.03
0.03,0.02,0.03,0.02
0.69888,0.03,0.04,0.04
0.13,0.69615,0.08,0.13
0.69916,0.04,0.02,0.04
0.02,0.02,0.02,0.01
0.02,0.03,0.08,0.02
0.16,0.19,0.2321,0.7609
0.6993,0.03,0.02,0.01
0.03,0.03,0.08,0.02
0.69923,0.04,0.01,0.02
0.0159,0.68747,0.04,0.06
0.13,0.07,0.16,0.04
0.03,0.02,0.02,0.01
0.6993,0.04,0.01,0.02
0.04,0.02,0.04,0.02
0.04,0.05,0.0061,0.17
0.69923,0.03,0.02,0.02
0.02,0.02,0.02,0.01
0.69937,0.04,0.01,0.01
0.4593,0.5374,0.05,0.07
0.69916,0.06,0.01,0.01
0.03,0.02,0.69832,0.09
0.02,0.01,0.04,0.02
0.03,0.03,0.14,0.02
0.02,0.02,0.04,0.01
0.03,0.02,0.07,0.02
0.16,0.69489,0.1,0.0022
0.6993,0.05,0.01,0.02
0.17,0.6965,0.05,0.13
0.03,0.01,0.02,0.01
0.69902,0.03,0.02,0.03
0.6993,0.05,0.01,0.02
0.69916,0.03,0.02,0.02
0.02,0.02,0.03,0.02
0.69923,0.03,0.01,0.03
0.02,0.02,0.02,0.02
0.03,0.04,0.17,0.02
0.15,0.69636,0.06,0.09
0.02,0.02,0.02,0.02
0.0026,0.69636,0.05,0.11
0.03,0.02,0.03,0.02
0.18,0.06,0.11,0.02
0.03,0.01,0.04,0.02
0.02,0.01,0.03,0.02
0.01,0.01,0.04,0.01
0.03,0.02,0.05,0.01
0.03,0.02,0.69839,0.08
0.69923,0.04,0.01,0.03
0.03,0.02,0.02,0.01
0.03,0.02,0.03,0.03
0.69902,0.03,0.03,0.03
0.0042,0.69111,0.12,0.0058
0.03,0.02,0.02,0.02
0.02,0.02,0.18,0.02
0.02,0.03,0.02,0.01
0.17,0.69678,0.07,0.09
0.69909,0.03,0.02,0.05
0.69895,0.07,0.02,0.01
0.69916,0.03,0.02,0.02
0.02,0.02,0.02,0.01
0.69874,0.06,0.05,0.02
0.02,0.02,0.02,0.02
0.69916,0.02,0.02,0.03
0.69895,0.08,0.01,0.03
0.6993,0.03,0.01,0.02
0.03,0.03,0.01,0.01
0.02,0.01,0.03,0.01
0.03,0.01,0.04,0.02
0.0038,0.69552,0.04,0.07
0.05,0.03,0.6979,0.06
0.02,0.02,0.03,0.02
0.05,0.03,0.68509,0.11
0.6993,0.03,0.01,0.02
0.69923,0.04,0.02,0.02
0.002,0.05,0.68516,0.06
0.69923,0.03,0.02,0.03
0.02,0.02,0.12,0.02
0.02,0.02,0.09,0.02
0.0312,0.67641,0.04,0.04
0.02,0.02,0.02,0.01
0.0536,0.18,0.0034,0.65646
0.69881,0.04,0.02,0.03
0.02,0.02,0.06,0.02
0.02,0.02,0.05,0.02
0.03,0.03,0.02,0.02
0.02,0.03,0.06,0.02
0.17,0.69664,0.05,0.08
0.002,0.15,0.003,0.69398
0.03,0.02,0.01,0.02
0.16,0.69678,0.05,0.1
0.6993,0.03,0.02,0.01
0.02,0.02,0.07,0.02
0.69916,0.03,0.02,0.03
0.03,0.02,0.02,0.02
0.03,0.02,0.06,0.02
0.69909,0.07,0.01,0.02
0.69853,0.04,0.05,0.02
0.02,0.01,0.69832,0.1
0.02,0.02,0.02,0.02
0.02,0.03,0.002,0.02
0.69923,0.03,0.02,0.02
0.0021,0.69685,0.06,0.08
0.69909,0.09,0.01,0.02
0.69923,0.03,0.02,0.02
0.69853,0.05,0.02,0.1
0.69937,0.04,0.01,0.01
0.69909,0.04,0.01,0.05
0.14,0.69636,0.09,0.12
0.69902,0.03,0.03,0.03
0.04,0.02,0.69748,0.16
0.03,0.03,0.69825,0.08
0.6993,0.04,0.01,0.01
0.69909,0.06,0.01,0.01
0.03,0.03,0.09,0.02
0.6993,0.03,0.01,0.02
0.6993,0.04,0.01,0.02
0.69909,0.03,0.02,0.03
0.03,0.01,0.06,0.02
0.0033,0.11,0.0032,0.69342
0.69846,0.07,0.07,0.02
0.69916,0.05,0.02,0.02
0.02,0.02,0.03,0.02
0.19,0.12,0.0954,0.8987
0.69923,0.05,0.01,0.02
0.02,0.02,0.69524,0.0049
0.69909,0.03,0.02,0.03
0.03,0.03,0.05,0.02
0.003,0.68922,0.08,0.1
0.03,0.03,0.06,0.02
0.03,0.02,0.69804,0.08
0.0056,0.12,0.1017,0.8891
0.6993,0.04,0.01,0.02
0.02,0.02,0.11,0.02
0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.01
0.14,0.08,0.0021,0.05
0.03,0.02,0.69839,0.06
0.69853,0.04,0.04,0.02
0.03,0.02,0.69776,0.07
0.69916,0.03,0.02,0.01
0.03,0.03,0.07,0.02
0.02,0.02,0.02,0.01
0.18,0.69664,0.07,0.1
0.02,0.03,0.09,0.02
0.02,0.02,0.02,0.02
0.15,0.69692,0.06,0.08
0.19,0.69671,0.05,0.12
0.69923,0.04,0.02,0.02
0.02,0.02,0.02,0.01
0.69916,0.03,0.02,0.04
0.6993,0.04,0.01,0.01
0.03,0.06,0.06,0.02
0.69867,0.04,0.05,0.03
0.0664,0.65198,0.04,0.06
0.69552,0.12,0.16,0.11
0.69874,0.03,0.02,0.07
0.02,0.02,0.01,0.01
0.0023,0.0023,0.0039,0.69314
0.69916,0.04,0.02,0.03
0.69923,0.03,0.02,0.03
0.02,0.03,0.02,0.01
0.18,0.16,0.0032,0.69384
0.02,0.03,0.06,0.02
0.6993,0.04,0.01,0.01
0.69923,0.03,0.02,0.02
0.0024,0.69671,0.04,0.08
0.69916,0.04,0.01,0.02
0.18,0.69671,0.05,0.1
0.15,0.69573,0.1,0.17
0.6993,0.04,0.01,0.02
0.03,0.02,0.02,0.02
0.69923,0.03,0.02,0.03
0.02,0.02,0.03,0.01
0.03,0.01,0.69846,0.07
0.02,0.03,0.07,0.02
0.05,0.02,0.03,0.03
0.03,0.02,0.09,0.02
0.69923,0.03,0.02,0.03
0.04,0.03,0.69755,0.05
0.17,0.11,0.0051,0.69328
0.15,0.69657,0.06,0.11
0.02,0.02,0.04,0.02
0.01,0.01,0.02,0.01
0.69923,0.04,0.01,0.03
0.3021,0.0025,0.0046,0.6852
0.17,0.69601,0.06,0.09
0.02,0.02,0.02,0.01
0.02,0.01,0.03,0.01
0.69895,0.06,0.01,0.02
0.04,0.02,0.69804,0.08
0.69909,0.03,0.02,0.03
0.6993,0.03,0.01,0.02
0.69923,0.03,0.01,0.03
0.1418,0.8542,0.07,0.14
0.03,0.02,0.69832,0.08
0.02,0.02,0.03,0.02
0.02,0.02,0.02,0.01
0.03,0.02,0.69825,0.07
0.2832,0.714,0.05,0.07
0.6993,0.03,0.01,0.02
0.02,0.01,0.02,0.01
0.6993,0.04,0.01,0.02
0.03,0.02,0.02,0.02
0.69923,0.03,0.02,0.02
0.02,0.02,0.02,0.01
0.69881,0.04,0.02,0.02
0.08,0.03,0.11,0.02
0.69923,0.03,0.01,0.02
0.69916,0.04,0.01,0.03
0.03,0.02,0.07,0.02
0.04,0.02,0.02,0.02
0.02,0.02,0.69699,0.0028
0.02,0.02,0.02,0.01
0.02,0.02,0.03,0.01
0.07,0.12,0.05,0.04
0.0027,0.11,0.0034,0.69377
0.004,0.11,0.0023,0.69349
0.69909,0.03,0.03,0.03
0.0042,0.09,0.0035,0.69258
0.13,0.15,0.5818,0.4115
0.003,0.69587,0.05,0.13
0.02,0.02,0.15,0.01
0.6993,0.05,0.01,0.02
0.03,0.02,0.69727,0.0021
0.04,0.02,0.08,0.02
0.04,0.04,0.09,0.02
0.02,0.02,0.02,0.02
0.69923,0.04,0.01,0.03
0.04,0.02,0.6972,0.04
0.69923,0.03,0.01,0.02
0.69902,0.05,0.02,0.02
0.69916,0.05,0.01,0.03
0.69923,0.03,0.02,0.02
0.0029,0.07,0.0076,0.69111
0.02,0.04,0.06,0.02
0.06,0.05,0.0585,0.14
0.69923,0.03,0.02,0.03
0.02,0.01,0.04,0.01
0.03,0.04,0.05,0.02
0.14,0.69594,0.07,0.0021
0.02,0.01,0.03,0.01
0.0673,0.651,0.05,0.07
0.03,0.03,0.08,0.02
0.3164,0.6809,0.05,0.08
0.0687,0.64974,0.05,0.08
0.6993,0.05,0.01,0.01
0.69909,0.05,0.02,0.02
0.02,0.01,0.03,0.01
0.69846,0.03,0.03,0.11
0.05,0.09,0.03,0.03
0.69902,0.03,0.02,0.04
0.04,0.03,0.07,0.02
0.69909,0.04,0.01,0.04
0.03,0.02,0.69832,0.1
0.02,0.06,0.04,0.02
0.6993,0.03,0.02,0.02
0.02,0.02,0.03,0.01
0.0023,0.08,0.0072,0.6916
0.69916,0.03,0.02,0.03
0.6993,0.04,0.01,0.01
0.0823,0.6405,0.05,0.07
0.69923,0.03,0.02,0.02
0.02,0.02,0.02,0.02
0.03,0.03,0.14,0.01
0.69937,0.03,0.01,0.02
0.02,0.02,0.03,0.02
0.02,0.02,0.02,0.01
0.02,0.01,0.03,0.01
0.69909,0.03,0.02,0.02
0.6993,0.03,0.01,0.02
0.69923,0.03,0.01,0.02
0.03,0.02,0.02,0.02
0.03,0.02,0.03,0.01
0.03,0.05,0.08,0.03
0.02,0.02,0.06,0.02
0.7376,0.2601,0.04,0.06
0.02,0.02,0.02,0.01
0.19,0.11,0.0043,0.69363
0.69909,0.05,0.01,0.03
0.69923,0.04,0.01,0.02
0.02,0.02,0.02,0.01
0.02,0.03,0.09,0.02
0.69888,0.04,0.02,0.07
0.03,0.03,0.07,0.02
0.66864,0.0425,0.04,0.03
0.69909,0.03,0.01,0.04
0.0025,0.69636,0.05,0.09
0.03,0.02,0.08,0.02
0.6993,0.05,0.01,0.01
0.7207,0.2766,0.05,0.07
0.69923,0.03,0.03,0.02
0.69895,0.03,0.03,0.04
0.8421,0.1555,0.03,0.05
0.69923,0.03,0.01,0.03
0.69916,0.03,0.02,0.02
0.07,0.15,0.67991,0.0074
0.69923,0.03,0.01,0.02
0.02,0.01,0.69825,0.11
0.03,0.02,0.02,0.02
0.1,0.13,0.1533,0.18
0.03,0.04,0.04,0.02
0.02,0.01,0.03,0.01
0.14,0.69622,0.11,0.12
0.02,0.02,0.01,0.02
0.11,0.1,0.1762,0.002
0.02,0.02,0.09,0.04
0.17,0.15,0.3438,0.6491
0.06,0.03,0.67116,0.11
0.02,0.02,0.01,0.02
0.02,0.02,0.03,0.01
0.69902,0.04,0.02,0.02
0.02,0.01,0.69825,0.11
0.69937,0.04,0.01,0.02
0.04,0.03,0.0064,0.04
0.12,0.0026,0.1,0.08
0.03,0.03,0.05,0.02
0.02,0.02,0.02,0.01
0.03,0.02,0.08,0.02
0.11,0.05,0.1647,0.09
0.0028,0.69503,0.07,0.0022
0.69895,0.04,0.03,0.02
0.69923,0.03,0.02,0.02
0.02,0.01,0.03,0.01
0.69916,0.04,0.01,0.02
0.65625,0.061,0.03,0.05
0.69937,0.03,0.01,0.02
0.18,0.69678,0.06,0.11
0.366,0.6296,0.07,0.13
0.18,0.69629,0.08,0.14
0.69888,0.03,0.04,0.03
0.17,0.15,0.3124,0.681
0.05,0.02,0.68852,0.08
0.03,0.02,0.02,0.01
0.02,0.02,0.12,0.01
0.04,0.02,0.03,0.03
0.05,0.02,0.69608,0.04
0.69888,0.04,0.03,0.02
0.02,0.02,0.16,0.02
0.6993,0.03,0.02,0.02
0.69909,0.08,0.01,0.02
0.02,0.02,0.03,0.02
0.69909,0.03,0.03,0.04
0.03,0.02,0.69832,0.1
0.6993,0.04,0.01,0.02
0.03,0.02,0.07,0.02
0.05,0.05,0.03,0.11
0.02,0.03,0.07,0.02
0.753,0.2441,0.04,0.09
0.14,0.69671,0.07,0.07
0.13,0.6965,0.08,0.12
0.04,0.02,0.03,0.01
0.03,0.02,0.69776,0.06
0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02
0.11,0.0024,0.1,0.08
0.02,0.02,0.69804,0.16
0.02,0.02,0.02,0.01
0.03,0.04,0.05,0.02
0.69916,0.06,0.01,0.01
0.69916,0.04,0.02,0.02
0.02,0.02,0.02,0.02
0.02,0.01,0.69818,0.04
0.03,0.01,0.69832,0.08
0.02,0.03,0.08,0.02
0.03,0.02,0.11,0.01
0.02,0.03,0.03,0.01
0.03,0.02,0.02,0.02
0.06,0.03,0.065,0.05
0.02,0.03,0.09,0.02
0.69923,0.03,0.01,0.03
0.03,0.02,0.69832,0.07
0.02,0.02,0.02,0.01
0.01,0.02,0.03,0.01
0.03,0.01,0.69832,0.06
0.69902,0.03,0.02,0.03
0.03,0.02,0.69825,0.07
0.02,0.02,0.02,0.01
0.02,0.01,0.04,0.02
0.69916,0.05,0.01,0.03
0.02,0.02,0.02,0.02
0.03,0.02,0.1,0.02
0.02,0.02,0.01,0.01
0.0026,0.69622,0.05,0.08
0.15,0.16,0.0038,0.69363
0.69923,0.04,0.01,0.01
0.69468,0.05,0.0033,0.13
0.6993,0.04,0.01,0.02
0.69909,0.03,0.02,0.04
0.6993,0.03,0.02,0.02
0.02,0.02,0.03,0.02
0.02,0.02,0.02,0.01
0.0652,0.65268,0.04,0.05
0.04,0.02,0.69776,0.04
0.17,0.06,0.3168,0.12
0.6993,0.04,0.01,0.03
0.15,0.69629,0.09,0.12
0.69909,0.03,0.02,0.03
0.69923,0.03,0.01,0.03
0.03,0.01,0.69832,0.06
0.02,0.03,0.06,0.02
0.04,0.02,0.69832,0.08
0.07,0.09,0.02,0.02
0.03,0.03,0.08,0.03
0.02,0.02,0.08,0.01
0.08,0.04,0.63105,0.11
0.03,0.02,0.69671,0.0032
0.69888,0.03,0.02,0.07
0.17,0.69685,0.07,0.08
0.11,0.0021,0.09,0.07
0.03,0.02,0.6979,0.15
0.02,0.03,0.13,0.02
0.6993,0.04,0.01,0.01
0.04,0.02,0.69804,0.06
0.02,0.01,0.03,0.01
0.03,0.02,0.02,0.01
0.02,0.02,0.1,0.02
0.69923,0.03,0.02,0.02
0.03,0.05,0.06,0.02
0.03,0.02,0.69846,0.07
0.03,0.02,0.69818,0.1
0.14,0.0021,0.2888,0.7039
0.03,0.02,0.02,0.01
0.69923,0.03,0.02,0.02
0.69902,0.04,0.02,0.02
0.6993,0.03,0.02,0.02
0.0023,0.69594,0.05,0.07
0.02,0.02,0.02,0.01
0.69888,0.03,0.03,0.03
0.03,0.02,0.01,0.01
0.02,0.02,0.09,0.02
0.6993,0.04,0.01,0.02
0.69895,0.03,0.04,0.03
0.02,0.02,0.69825,0.07
0.03,0.01,0.69839,0.06
0.69923,0.03,0.02,0.03
0.03,0.01,0.69839,0.08
0.03,0.02,0.11,0.02
0.05,0.0021,0.09,0.04
0.02,0.02,0.14,0.01
0.69874,0.07,0.02,0.01
0.02,0.02,0.02,0.01
0.69909,0.03,0.02,0.03
0.69174,0.05,0.05,0.0097
0.69916,0.04,0.01,0.04
0.03,0.04,0.09,0.02
0.05,0.03,0.69811,0.06
0.03,0.03,0.09,0.02
0.69769,0.03,0.03,0.18
0.02,0.02,0.02,0.01
0.69909,0.06,0.01,0.02
0.03,0.02,0.69839,0.08
0.69909,0.04,0.01,0.05
0.02,0.02,0.03,0.01
0.02,0.02,0.08,0.02
0.02,0.02,0.01,0.01
0.02,0.02,0.02,0.02
0.69909,0.03,0.03,0.02
0.67193,0.0389,0.02,0.04
0.02,0.02,0.02,0.01
0.16,0.69636,0.09,0.13
0.69923,0.03,0.02,0.02
0.02,0.02,0.01,0.01
0.02,0.03,0.08,0.02
0.0025,0.69538,0.11,0.15
0.02,0.02,0.05,0.01
0.69895,0.03,0.02,0.05
0.6993,0.04,0.01,0.02
0.03,0.02,0.69825,0.12
0.03,0.03,0.08,0.02
0.69909,0.03,0.02,0.05
0.69923,0.03,0.01,0.03
0.066,0.65233,0.04,0.06
0.15,0.17,0.5037,0.4896
0.03,0.02,0.69839,0.07
0.02,0.02,0.6972,0.0026
0.04,0.04,0.08,0.03
0.03,0.03,0.05,0.02
0.0549,0.65996,0.04,0.05
0.02,0.03,0.03,0.01
0.03,0.02,0.02,0.02
0.69916,0.03,0.02,0.02
0.16,0.69678,0.06,0.1
0.04,0.02,0.16,0.01
0.69923,0.03,0.02,0.02
0.02,0.03,0.0021,0.03
0.6993,0.03,0.02,0.02
0.69923,0.04,0.01,0.03
0.69909,0.07,0.01,0.02
0.03,0.01,0.69846,0.07
0.03,0.02,0.69846,0.08
0.1262,0.87,0.07,0.11
0.02,0.02,0.02,0.01
0.7223,0.275,0.05,0.08
0.67368,0.15,0.14,0.05
0.6993,0.03,0.01,0.02
0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.01
0.05,0.1,0.0191,0.04
0.02,0.02,0.17,0.02
0.03,0.05,0.05,0.02
0.02,0.02,0.1,0.02
0.03,0.02,0.02,0.02
0.69916,0.03,0.02,0.02
0.02,0.02,0.02,0.01
0.69923,0.03,0.01,0.03
0.03,0.02,0.69839,0.09
0.03,0.02,0.02,0.02
0.69916,0.03,0.02,0.04
0.02,0.05,0.03,0.01
0.69923,0.03,0.02,0.02
0.0039,0.16,0.0028,0.69258
0.03,0.02,0.69825,0.12
0.69909,0.03,0.03,0.02
0.69923,0.03,0.02,0.03
0.03,0.01,0.69846,0.08
0.03,0.02,0.69804,0.1
0.02,0.02,0.03,0.02
0.03,0.02,0.03,0.03
0.15,0.08,0.14,0.05
0.02,0.02,0.02,0.01
0.1243,0.8733,0.05,0.06
0.69909,0.03,0.02,0.03
0.18,0.11,0.0037,0.69412
0.69874,0.05,0.04,0.02
0.15,0.19,0.5734,0.4195
0.69923,0.04,0.02,0.02
0.08,0.04,0.64148,0.12
0.69909,0.07,0.01,0.02
0.69923,0.03,0.01,0.02
0.69916,0.03,0.02,0.02
0.69909,0.06,0.01,0.02
0.18,0.12,0.0035,0.69398
0.19,0.69692,0.06,0.07
0.02,0.02,0.01,0.01
0.003,0.69594,0.05,0.13
0.6993,0.04,0.01,0.03
0.02,0.02,0.02,0.01
0.517,0.479,0.08,0.1
0.69916,0.03,0.02,0.03
0.02,0.02,0.03,0.02
0.69902,0.03,0.02,0.03
0.69923,0.03,0.01,0.02
0.69923,0.03,0.01,0.03
0.69909,0.08,0.01,0.01
0.03,0.02,0.69825,0.11
0.03,0.01,0.69846,0.09
0.03,0.02,0.69825,0.08
0.05,0.01,0.69741,0.09
0.02,0.03,0.08,0.02
0.17,0.69664,0.08,0.11
0.02,0.02,0.02,0.01
0.6159,0.3804,0.06,0.11
0.69923,0.03,0.02,0.02
0.02,0.02,0.05,0.02
0.02,0.02,0.03,0.02
0.01,0.01,0.05,0.01
0.002,0.06,0.1152,0.09
0.6993,0.04,0.01,0.01
0.02,0.02,0.02,0.02
0.02,0.02,0.03,0.01
0.03,0.02,0.69839,0.07
0.69069,0.0025,0.0051,0.002
0.02,0.03,0.07,0.02
0.69916,0.04,0.01,0.04
0.67746,0.0311,0.02,0.03
0.04,0.02,0.6979,0.1
0.02,0.03,0.1,0.02
0.6993,0.03,0.01,0.02
0.02,0.03,0.07,0.02
0.07,0.09,0.8623,0.18
0.03,0.07,0.1,0.03
0.02,0.03,0.07,0.02
0.03,0.02,0.09,0.02
0.69937,0.04,0.01,0.02
0.03,0.02,0.69776,0.16
0.02,0.02,0.02,0.01
0.12,0.69671,0.07,0.14
0.02,0.02,0.03,0.02
0.03,0.02,0.69846,0.06
0.0029,0.69594,0.04,0.08
0.69916,0.07,0.01,0.01
0.15,0.17,0.1602,0.8334
0.69923,0.04,0.01,0.03
0.69909,0.03,0.02,0.03
0.69909,0.03,0.02,0.04
0.69902,0.05,0.01,0.02
0.02,0.02,0.02,0.02
0.17,0.15,0.0033,0.69391
0.6993,0.03,0.01,0.03
0.03,0.03,0.07,0.02
0.04,0.07,0.09,0.03
0.02,0.03,0.08,0.02
0.69937,0.03,0.01,0.02
0.69902,0.06,0.02,0.03
0.02,0.01,0.03,0.01
0.0021,0.69699,0.04,0.07
0.02,0.03,0.01,0.01
0.69923,0.07,0.01,0.01
0.03,0.02,0.11,0.02
0.03,0.05,0.08,0.03
0.03,0.02,0.08,0.02
0.03,0.02,0.69839,0.1
0.69846,0.07,0.08,0.02
